City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,sarmiento,-45.5882,-69.07,75.83,24,10,17.58,AR,1703609930
256,pimentel,-6.8367,-79.9342,73.69,83,75,12.66,PE,1703609933
258,guajara mirim,-10.7828,-65.3394,87.96,58,0,3.44,BR,1703609934
263,chonchi,-42.6128,-73.8092,72.61,35,0,3.42,CL,1703609937
266,devonport,-41.1667,146.35,60.26,89,86,6.44,AU,1703609938
267,fenoarivo be,-18.4333,46.5667,68.65,91,33,3.0,MG,1703609939
269,ndende,-2.4008,11.3581,75.61,94,100,1.36,GA,1703609940
276,touros,-5.1989,-35.4608,85.66,68,100,14.63,BR,1703609944
278,san vicente de canete,-13.0751,-76.3835,75.24,74,87,6.98,PE,1703609946
279,andergrove,-21.0833,149.1833,78.64,89,100,9.55,AU,1703609946
280,codrington,-38.2667,141.9667,60.55,93,80,13.65,AU,1703609947
283,lauro de freitas,-12.8944,-38.3272,87.82,74,20,16.11,BR,1703609700
284,avarua,-21.2078,-159.775,74.82,61,100,12.95,CK,1703609950
285,new norfolk,-42.7826,147.0587,53.92,96,95,0.78,AU,1703609950
287,murray bridge,-35.1167,139.2667,58.33,92,87,9.31,AU,1703609951
290,vila velha,-20.3297,-40.2925,91.35,62,75,11.5,BR,1703609952
292,bela vista,-22.1089,-56.5211,97.84,37,94,4.85,BR,1703609954
301,alvaraes,-3.2208,-64.8042,85.87,82,100,4.29,BR,1703609960
302,punta del este,-34.9667,-54.95,69.91,60,20,10.36,UY,1703609961
303,caleta de carquin,-11.0925,-77.6267,76.41,73,72,9.93,PE,1703609961
304,saint-pierre,-21.3393,55.4781,76.68,69,0,6.91,RE,1703609962
308,antsiranana,-12.2787,49.2917,80.96,80,82,7.2,MG,1703609822
312,tapes,-30.6733,-51.3958,74.8,50,3,12.84,BR,1703609966
315,coruripe,-10.1256,-36.1756,86.97,59,36,10.78,BR,1703609968
325,rio claro,-22.4114,-47.5614,91.4,58,84,6.24,BR,1703609972
326,chokwe,-24.5333,32.9833,70.99,86,100,14.81,MZ,1703609972
328,beau vallon,-20.4189,57.6953,77.23,78,20,0.0,MU,1703609974
330,motueka,-41.1333,173.0167,63.1,86,40,3.06,NZ,1703609975
332,cannonvale,-20.2833,148.7,79.99,90,100,6.58,AU,1703609977
343,naracoorte,-36.9579,140.7383,58.66,92,58,10.13,AU,1703609983
347,port macquarie,-31.4333,152.9167,64.89,74,3,5.21,AU,1703609848
352,souillac,-20.5167,57.5167,77.38,78,20,0.0,MU,1703609987
358,tual,-5.6667,132.75,83.08,80,96,12.59,ID,1703609989
359,new plymouth,-39.0667,174.0833,63.81,95,53,5.75,NZ,1703609989
361,mamuju,-2.6748,118.8885,79.56,79,60,2.19,ID,1703609989
363,port alfred,-33.5906,26.891,65.17,83,100,13.56,ZA,1703609990
366,woolgoolga,-30.1106,153.2007,73.04,62,39,5.57,AU,1703609992
370,luderitz,-26.6481,15.1594,65.03,86,4,12.01,,1703609995
381,villa la angostura,-40.7617,-71.6463,81.95,30,4,2.51,AR,1703609999
382,vangaindrano,-23.35,47.6,78.19,88,98,10.4,MG,1703609999
385,namibe,-15.1961,12.1522,71.69,73,100,10.2,AO,1703610002
389,rocha,-34.4833,-54.3333,72.32,42,0,12.97,UY,1703609951
391,piracanjuba,-17.3028,-49.0167,87.89,47,78,7.49,BR,1703610023
398,banos,-1.4,-78.4167,74.41,75,99,5.66,EC,1703610030
399,maintirano,-18.0667,44.0167,83.14,74,7,10.18,MG,1703610031
402,pisco,-13.7,-76.2167,75.25,73,0,9.22,PE,1703610039
404,cooma,-36.2333,149.1333,51.71,95,43,2.66,AU,1703610040
408,itaparica,-12.8883,-38.6786,87.73,67,45,14.12,BR,1703610043
422,malanje,-9.5402,16.341,70.0,87,100,6.33,AO,1703610056
424,san antonio de pale,-1.4014,5.6325,81.55,76,2,7.83,GQ,1703610057
426,shakawe,-18.3667,21.85,82.42,51,98,6.15,BW,1703610058
431,kone,-21.0595,164.8658,76.91,84,3,4.63,NC,1703610081
432,sao joao da barra,-21.6403,-41.0511,93.29,67,75,12.26,BR,1703609827
434,santana do acarau,-3.4606,-40.2122,91.22,49,77,5.79,BR,1703610083
436,cidreira,-30.1811,-50.2056,76.5,46,22,10.38,BR,1703610086
440,mata-utu,-13.2816,-176.1745,83.12,80,100,7.4,WF,1703610089
441,walvis bay,-22.9575,14.5053,66.09,88,20,9.35,,1703610090
443,wynyard,-41.0,145.7167,60.93,86,91,4.52,AU,1703610093
445,san rafael,-34.6177,-68.3301,86.27,27,61,9.51,AR,1703609808
453,mocimboa,-11.3167,40.35,82.67,73,43,11.21,MZ,1703610102
461,castillos,-34.1667,-53.8333,70.34,49,1,12.44,UY,1703610111
464,warrnambool,-38.3833,142.4833,60.84,95,95,14.54,AU,1703609932
466,kununurra,-15.7667,128.7333,84.18,84,100,8.05,AU,1703610115
467,orapa,-21.2833,25.3667,77.72,63,99,6.71,BW,1703610116
476,alfenas,-21.4292,-45.9472,84.83,49,69,4.21,BR,1703610122
481,constitucion,-35.3333,-72.4167,65.41,69,42,11.34,CL,1703610126
482,kruisfontein,-34.0033,24.7314,61.27,60,100,14.38,ZA,1703610127
484,sambava,-14.2667,50.1667,80.64,83,100,4.32,MG,1703610129
485,quellon,-43.1167,-73.6167,77.05,36,0,6.38,CL,1703610129
488,suva,-18.1416,178.4415,76.48,94,75,3.44,FJ,1703610132
498,menongue,-14.6585,17.691,73.85,69,100,6.85,AO,1703610139
503,emerald,-23.5333,148.1667,70.34,97,0,6.96,AU,1703610145
505,tafuna,-14.3358,-170.72,80.35,87,100,13.11,AS,1703610147
506,howard springs,-12.497,131.047,84.11,82,58,12.48,AU,1703610148
510,labasa,-16.4167,179.3833,77.22,91,45,7.47,FJ,1703610152
514,rawson,-43.3002,-65.1023,65.62,41,5,11.63,AR,1703610099
516,queenstown,-31.8976,26.8753,53.13,91,84,11.7,ZA,1703610158
518,andovoranto,-18.95,49.1,75.42,96,26,1.19,MG,1703610159
527,cruzeiro do sul,-29.5128,-51.9853,79.48,58,0,6.44,BR,1703610165
531,port douglas,-16.4833,145.4667,80.47,87,100,2.59,AU,1703610169
532,puerto santa,-8.9906,-78.6456,73.44,77,92,8.32,PE,1703610170
533,oranjemund,-28.55,16.4333,67.44,74,46,12.62,,1703610170
539,dunedin,-45.8742,170.5036,51.8,91,97,1.97,NZ,1703610173
542,antalaha,-14.9003,50.2788,81.91,76,100,5.17,MG,1703610175
543,kabinda,-6.1333,24.4833,68.05,99,100,5.01,CD,1703610176
545,nuku'alofa,-21.1333,-175.2,77.34,83,20,11.5,TO,1703610179
546,el alto,-4.2714,-81.2147,72.14,75,100,9.62,PE,1703610179
550,camiri,-20.05,-63.5167,90.3,45,94,4.5,BO,1703610185
551,geraldton,-28.7667,114.6,69.04,70,100,13.94,AU,1703610187
552,guajara,-2.9667,-57.6667,97.39,37,95,5.01,BR,1703610188
553,concepcion,-36.827,-73.0498,58.8,88,100,17.27,CL,1703610017
556,pointe-noire,-4.7761,11.8635,80.67,94,75,5.75,CG,1703610191
557,camacupa,-12.0167,17.4833,68.31,86,100,4.92,AO,1703610192
559,nelson bay,-32.7167,152.15,68.05,76,2,7.11,AU,1703610193
562,guayaramerin,-10.8368,-65.3614,87.85,58,0,3.44,BO,1703610196
563,castelo do piaui,-5.3222,-41.5525,92.12,41,90,2.57,BR,1703610197
